registroans;cnpj;razaosocial;nomefantasia;modalidade;logradouro;numero;complemento;bairro;cidade;uf;cep;ddd;telefone;fax;enderecoeletronico;representante;cargorepresentante;dataregistroans
422347;37200000000000;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios;AVENIDA RIO BRANCO;125;15º ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006;21;22524066;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SÓCIA ADMINISTRADORA;2020-09-03
335657;2040000000000;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo;RUA DR. SODRÉ;119;;VILA NOVA CONCEIÇÃO;São Paulo;SP;4535110;;;;planosdesaude@advanceplanos.com.br;JOSÉ JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;1998-12-28
413283;3690000000000;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJAÚ;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;6454050;1;168135656;168135656;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;2001-03-07
419907;22900000000000;AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA;AFFIANCE LIFE BENEFÍCIOS;Administradora de Benefícios;AVENIDA FONSO PENA ;867;23º ANDAR - SALAS 2301 A  2305;CENTRO;Belo Horizonte;MG;30130905;31;25335500;;atendimento@affiancelife.com.br;DAVISON KENER GONÇALVES;ADMINISTRADOR;2015-09-23
417424;11200000000000;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios;RUA DR. BRÁULIO GOMES;36;18° ANDAR- SALA  ADMINISTRADORA;REPÚBLICA;São Paulo;SP;1047020;11;39952217;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;SóCIO ADMINISTRADOR;2010-07-16
368920;20300000000000;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Viçosa;MG;36570900;31;38996550;38996550;dge@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR GERAL;1998-12-18
417742;10400000000000;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios;AVENIDA RIO BRANCO;131;10ª ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006;21;25054500;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;2010-12-20
416975;6260000000000;ALCANCE SAÚDE EIRELI;ALCANCE SAÚDE;Medicina de Grupo;RUA CUSSY DE ALMEIDA JUNIOR;1931;;SAO JOAO;Araçatuba;SP;16025050;18;31176391;;drevaldo@terra.com.br;EVALDO DE ARAUJO SANCHEZ;REPRESENTANTE;2009-07-03
421928;34300000000000;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Rua Lisboa;224;;Cerqueira César;São Paulo;SP;5413000;11;41186896;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;2019-11-01
417289;7670000000000;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios;ALAMEDA SANTOS;1357;2º e 7º ANDAR;JARDIM PAULISTA;São Paulo;SP;1419908;11;32556444;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;2010-05-14
417459;11200000000000;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE;Administradora de Benefícios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Brasília;DF;70303907;61;30443600;30443615;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;2010-07-16
422177;35900000000000;ALLDEN ASSISTÊNCIA ODONTOLÓGICA LTDA;ALLDEN SAÚDE;Odontologia de Grupo; RUA 09 NORTE LOTE 05 E RUA DAS PITANGUE;LOTE 6;LOJAS 11/12 PARTE 55  EDIFÍCIO EASY ;AGUAS CLARAS;Brasília;DF;71908540;61;37729707;;geander.santos@alldensaude.com.br;SERGIO ROMERO SILVA;REPRESENTANTE LEGAL;2020-03-12
515;4440000000000;ALLIANZ SAÚDE S/A;;Seguradora Especializada em Saúde;RUA EUGÊNIO DE MEDEIROS;303;7º ANDAR - PARTE;PINHEIROS;São Paulo;SP;5425000;11;40015060;;compliance@allianz.com.br;MATTHIAS KÜHN;DIRETOR;2001-08-06
417807;12600000000000;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;Administradora de Benefícios;RUA GILBERTO SABINO;215;13º ANDAR;PINHEIROS;São Paulo;SP;5425020;11;31752900;;controladoria@brinsurance.com.br;LUCAS MORENO NEVES;DIRETOR FINANCEIRO;2011-01-24
419982;20500000000000;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;AVENIDA DAS SIBIPIRUNAS;2656;1º ANDAR, SALA 03;SETOR COMERCIAL SUL;Sinop;MT;78550029;66;35310070;;;IVAN DALL' STELLA COSTA JÚNIOR;SóCIO GERENTE;2015-12-09
422754;40200000000000;ALPHA SERVIÇOS DE SAÚDE LTDA;ALPHA SAÚDE;Medicina de Grupo;Rua Ramon Penharrubia;130;Conj 403;Bela Vista;São Paulo;SP;1323140;;;;adm@alphassaude.com.br;ADEMAR VALENTIM DA SILVA;Representante junto a  ANS;2021-05-19
420255;22100000000000;ALTER ADMINISTRADORA DE BENEFICIOS LTDA - EPP;;Administradora de Benefícios;RUA CAPITÃO ADELMIO NORBERTO DA SILVA;395;SALA 01;ALTO DA BOA VISTA;Ribeirão Preto;SP;14025670;16;39779072;;ALTERADM@UOL.COM.BR;CARLOS JOSÉ FOIZER;ADMINISTRADOR;2016-10-25
344800;62500000000000;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;ALVORECER;Medicina de Grupo;RUA EZEQUIEL FREIRE;192;13º ANDAR, SALA 1308;SANTANA;São Paulo;SP;2034000;11;30169409;;edson.ramos@bluemedsaude.com.br;SILVIO JOSÉ FERRAZ TAVARES;PRESIDENTE;1999-01-15
421871;3010000000000;AMA - ASSOCIAÇÃO METROPOLITANA ASSISTENCIAL;AMA - ASSOCIAÇÃO METROPOLITANA ASSISTENCIAL;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRÓXIMA AO PRONTO SOCORRO;ARAÇATUBA;Campina Grande do Sul;PR;83430000;41;36792528;;ama@hospitalcaron.org.br;PEDRO HENRIQUE LAMBACH CARON;Presidente;2021-07-29
419052;16900000000000;AMAZÔNIA PLANOS DE SAÚDE LTDA;PLANO AMAZÔNIA SAÚDE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÃO BRAZ;Belém;PA;66060575;91;31847650;32495686;AMASAUDE@HOTMAIL.COM;EDSON YUZUR YASOJIMA;REPRESENTANTE LEGAL;2013-10-03
304531;17100000000000;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;AME-SISTEMA DE SAÚDE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32;21015600;32155201;amesaude24h@terra.com.br;MARCIA MARIA DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;1998-12-22
413330;4260000000000;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21;22216390;25091083;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;2001-03-16
394734;67800000000000;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3º ANDAR;VILA GEA;São Paulo;SP;4692010;11;33219700;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SÓCIO DIRETOR;1998-12-24
321338;84600000000000;AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.;AMERON;Medicina de Grupo;AVENIDA CALAMA;2615;PRÉDIO;LIBERDADE;Porto Velho;RO;76803884;69;32117199;32217157;ouvidoria@ameron.com.br;PAULO ROBERTO DA SILVA;PRESIDENTE;1998-12-22
401081;68700000000000;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;GRUPO CEMERU SAÚDE;Medicina de Grupo;RUA FELIPE CARDOSO;1025;;SANTA CRUZ;Rio de Janeiro;RJ;23510006;21;33654040;33654040;adm.operadora@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;1999-02-24
418587;15100000000000;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA PEDRO CUNHA;88;;VILA SANTISTA;Atibaia;SP;12941020;;;;marcos.carvalho@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;2012-10-08
421731;29200000000000;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOSÉ SENGER;230;;VILA HARO;Sorocaba;SP;18015000;15;30351030;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;2019-06-13
326305;29300000000000;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Rua Arquiteto Olavo Redig de Campos;105;6 ao 21 andar Torre B Emp. EZ Towers;VILA FRANCISCO;São Paulo;SP;4711904;21;38054491;38051088;representanteans@amil.com.br;CAROLINA DE MOLLA LORENZATTO;REPRESENTANTE LEGAL;1998-12-17
420662;26100000000000;AMORIM ADMINISTRADORA DE BENEFÍCIOS;A4 ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;RUA DO ROSÁRIO;1;SALA 401;CENTRO;Rio de Janeiro;RJ;20041003;21;988825467;;bethlopes@icloud.com;ELIZABETH DE BRITO LOPES;Diretora Presidente;2016-12-13
413755;4390000000000;AMP SAUDE LTDA;;Medicina de Grupo;RUA DR. URBANO FIGUEIRA;32;;CENTRO;Taubaté;SP;12020140;12;21239205;;administrativo@ampsaude.com.br;JOSE DOMINGOS ABREU DE ANDRADE;DIRETOR;2001-05-28
325465;20900000000000;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;AMPARA ;Medicina de Grupo;PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;São Sebastião do Paraíso;MG;37950000;35;35393636;35393600;ampara@ampara.com.br;GILBERTO GONÇALVES;DIRETOR PRESIDENTE;1998-12-21
422720;41100000000000;AMPLA PLANOS DE SAUDE  LTDA;AMPLA  ;Medicina de Grupo;RUA SETE DE SETEMBRO ;55;SALA 1106;CENTRO;Rio de Janeiro;RJ;20050004;21;39235406;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;2021-04-06
400882;2810000000000;ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA;ÁPICE-ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.;Odontologia de Grupo;R. ELPIDIO GOMES;1262;;CENTRO;Sertãozinho;SP;14160620;16;39459143;39459143;apiceodonto@apiceodonto.com.br;VANDERLEI DE SOUZA JUNIOR;SÓCIO DIRETOR;1999-02-19
422932;35800000000000;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000;21;979954222;;leonardo@unimedicasaude.com;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;2021-07-29
418030;13100000000000;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;São Paulo;SP;2401000;11;45223468;;diretoria@apssaude.com.br;PERCÍVEL GAETA;SóCIO-ADMINISTRADOR E REPRESEN;2011-05-05
406708;540000000000;A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA;APS;Medicina de Grupo;RUA VINTE E TRÊS DE MAIO;790;MEZANINO;VIANELO;Jundiaí;SP;13207070;11;45831233;;angeladoranti@gruposobam.com.br;CAROLINA DE MOLLA LORENZATTO;REPRESENTANTE;1999-07-29
421693;30900000000000;AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefícios;Rua Barão de Melgaço;2754;Sala 406;Centro;Cuiabá;MT;78020800;65;36244416;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;2019-05-24
416070;17500000000000;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogestão;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27;33481463;33481489;beneficios@arcelormittal.com.br;NAILSON ROVETA;GERENTE DE ÁREA DE BENEFICIOS;2007-05-21
422941;41700000000000;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;Rua Visconde de Taunay;601.0;;Bom Retiro;São Paulo;SP;1132000;11;32252193;;paralegalarl@gmail.com;ALVARO ANTÔNIO REGIS LEMOS;Presidente;2021-08-11
352152;744000000000;ARM ODONTOLOGIA LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA MACHADO BITTENCOURT;361;CONJUNTOS 1110 / 1111 e 1112 ;VILA CLEMENTINO;São Paulo;SP;4044001;11;35155400;35155400;alexandre@armodonto.com.br;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;1998-12-21
417769;12100000000000;ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA;ASSISTE ;Administradora de Benefícios;RUA JOÃO HIPÓLITO DE AZEVEDO;18;SALA 3 - TÉRREO;CENTRO;Conceição do Jacuípe;BA;44245000;71;30381100;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SÓCIO-ADMINISTRADOR;2010-12-20
325236;66900000000000;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SÃO MIGUEL SAÚDE;Medicina de Grupo;RUA ÁLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;São Paulo;SP;8010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;1998-12-21
365297;1870000000000;ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;São Luís;MA;65070650;98;32365159;32355308;odmaster@portalma.com.br;MARCIA CHRISTINA VÉRAS BARBOSA;DIRETORA TÉCNICA;1998-12-22
406554;83400000000000;ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;GARANTIA DE SAÚDE - HOSPITAIS ADVENTISTA DE BELÉM E MANAUS;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000;91;32144500;32451585;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;1999-07-21
411752;3850000000000;ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;CRUZ AZUL SAÚDE;Medicina de Grupo;RUA ALBUQUERQUE MARANHÃO;72;;CAMBUCI;São Paulo;SP;1540020;11;33885000;33885010;diretoria@cruzazulsaude.com.br;JOAO CLAUDIO VALERIO;REPRESENTANTE JUNTO À ANS;2000-07-21
340146;61700000000000;ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS;CLASSES LABORIOSAS;Medicina de Grupo;RUA RÊGO FREITAS;574;;CENTRO;São Paulo;SP;1220010;11;32933934;32933852;juridico@classeslaboriosas.org.br;GERALDO FERNANDES;PRESIDENTE DA DIRETORIA EXECUTIVA;1998-12-18
322326;25300000000000;ASSOCIAÇÃO BENEFICENTE CATÓLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ubá;MG;36500000;32;35391034;35391050;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;1998-12-29
304131;2030000000000;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SAÚDE ABAS;Autogestão;RUA BARÃO DE JAGUARA;707;10º ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926;19;37335060;;falecom@abas15.org.br;EINSTEIN ROMERO DURÃES;REPRESENTANTE LEGAL;1998-12-22
382540;31200000000000;ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 211,212,213;CENTRO;Rio de Janeiro;RJ;20034900;21;31473242;25320563;appai@appai.org.br;JULIO CESAR DA COSTA;DIRETOR PRESIDENTE;1999-01-19
415049;60900000000000;ASSOCIAÇÃO BENEFICENTE FNV;ASSOCIAÇÃO BENEFICENTE FNV;Autogestão;RUA MAJOR HERMÓGENES;28;;CENTRO;Cruzeiro;SP;12701320;12;31440047;31440072;jsoares@abfnv.com.br;PAULO MÁRCIO ALMADA DOS SANTOS;PRESIDENTE DO CONSELHO GERAL;2004-11-30
413941;4070000000000;ASSOCIAÇÃO BRASILEIRA DE ASSISTÊNCIA ODONTOLOGICA DE GRUPO - DENTAL MED CENTER;DENTAL MED CENTER;Odontologia de Grupo;AVENIDA RIO BRANCO;440;;CENTRO;Natal;RN;59025000;84;32122256;31335798;dentalmedcenter@hotmail.com;LUCIANO OLIVEIRA DOS SANTOS;DIRETOR PRESIDENTE;2001-06-19
409634;73600000000000;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;;;32203391;administrador@prosaudeuepg.com.br;CARLOS LUCIANO SANT'ANA VARGAS;REPRESENTANTE;1999-11-05
417947;10900000000000;ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SANTA CASA SAÚDE DE RIBEIRÃO PRETO;Medicina de Grupo;AVENIDA DA SAUDADE;447;;CAMPOS ELISEOS;Ribeirão Preto;SP;14085000;;;;regulacao@santacasasauderp.com.br;AMAURI ELIAS CALIL;PRESIDENTE DO CONSELHO DE ADMINISTRAÇÃO;2011-03-31
416690;7780000000000;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;AMAGIS SAÚDE;Autogestão;RUA ALBITA;194;6º ANDAR;BAIRRO CRUZEIRO;Belo Horizonte;MG;30310160;31;30793479;32233683;saude@amagis.com.br;JAIR FRANCISCO DOS SANTOS;VICE PRESIDENTE E MEMBRO NATO;2008-06-30
416568;8200000000000;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;COPASS SAÚDE;Autogestão;RUA CARANGOLA;531;;SANTO ANTôNIO;Belo Horizonte;MG;30330240;31;32985820;32985801;copass@copass-saude.com.br;OMAR DE CARVALHO GOMES FILHO;REPRESENTANTE E SUPER EXECUTIV;2008-02-18
417955;7950000000000;ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;JUDICEMED;Autogestão;RUA ALBERTO FOLLONI;543;;AHÚ;Curitiba;PR;80540000;41;30171600;30171601;JUDICEMED@JUDICEMED.COM.BR;JEDERSON SUZIN;REPRESENTANTE LEGAL;2011-03-31
314218;61000000000000;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;;Filantropia;RUA AMÉRICO VENTURA;123;;ALTO DA MOOCA;São Paulo;SP;3128010;11;20297202;20297602;saocristovao@saocristovao.com.br;VALDIR PEREIRA VENTURA;PRESIDENTE CONS. DELIBERATIVO;1998-12-21
422321;35700000000000;ASSOCIAÇÃO DE SAÚDE DO VALE;LEVMED SAÚDE;Medicina de Grupo;RUA EPITÁCIO PESSOA;651;;CENTRO;Jaraguá do Sul;SC;89251100;47;35124100;;contato@levmed.com.br;CARLOS CESAR FELIPONI;DIRETOR EXECUTIVO;2020-07-14
418731;15000000000000;ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;HFC SAÚDE;Medicina de Grupo;RUA RAFAEL ALOISI;41;;VILA REZENDE;Piracicaba;SP;13405205;19;34297310;;lilian.pedro@hfcp.com.br;JOSÉ CORAL;DIRETOR SUPERINTENDENTE;2013-01-11
357910;1710000000000;ASSOCIAÇÃO DE SAUDE DOS POLICIAIS E BOMBEIROS MILITARES DO ESPIRITO SANTO;ASPBMES;Autogestão;AVENIDA CARLOS MOREIRA LIMA;648;;BENTO FERREIRA;Vitória;ES;29050672;27;30412803;30412818;aspmes@aspmes.com.br;ROGÉRIO FERNANDES LIMA;PRESIDENTE DA DIRETORIA EXECUTIVA;1998-12-29
360783;59000000000000;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÇÃO DE SAÚDE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÍCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19;38022049;38022049;ash@holnet.com.br;GILBERTO GUILHERME JOSÉ WIGMAN;PRESIDENTE;1999-02-03
417530;11900000000000;ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SAÚDE BENEFICÊNCIA;Medicina de Grupo;RUA TIRADENTES;293;CJ 51 A 54 - LOTE 5A;VILA ITAPURA;Campinas;SP;13023190;19;35001500;;diretoria@saudebeneficencia.com.br;ARLY DE LARA ROMÊO;REPRESENTANTE;2010-09-02
393533;12300000000000;ASSOCIAÇÃO DO FISCO DE ALAGOAS;;Autogestão;RUA ARTUR VITAL DA SILVA;58;;GRUTA DE LOURDES;Maceió;AL;57052260;82;33383494;33381846;presidencia@asfal.com.br;GUSTAVO DE ALBUQUERQUE CALHEIROS;DIRETOR PRESIDENTE;1998-12-28
420000;15700000000000;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;PLANSUL;Medicina de Grupo;RUA SANTA CRUZ;s/n;HOSPITAL MANOEL NOVAIS;BAIRRO DE FÁTIMA;Itabuna;BA;45603305;73;32143800;32143801;PLANSUL@PLANSUL.net;CELSO ROBERTO DOS SANTOS;GESTOR;2015-12-15
418021;13000000000000;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS;PLANO SANTA CASA SAÚDE;Medicina de Grupo;RUA DR. ANTÔNIO BENTO;162;TÉRREO;VILA MATHIAS;Santos;SP;11075260;13;32110602;;supervisao@planoscs.com.br;PAULO WIAZOWSKI FILHO;DIRETOR ADMINISTRATIVO E FINANCEIRO;2011-04-20
